parameter,value
model,dimensionless_1D_PN_drift_diffusion_Poisson_with_smooth_impact_ionization
nominal_global_cells,17179869184
local_window_cells,1537
dt,0.005
tolerance,1e-10
ion_A,50
ion_B,20
ion_gamma,0.18
ion_Efloor,0.05
threads,5
declared_predictor_orders,"16;24;32;48;64;80;96;112;128;160;192"
seed_selection,"first declared order passing Chebyshev-tail, Pade-denominator, finite and carrier-positivity gates; residual is NOT a selection criterion"
newton,"analytic 3x3 block-tridiagonal Jacobian + block Thomas + positivity cap + Armijo residual backtracking"
